type,index,timestamp,k1_open,k1_high,k1_low,k1_close,k1_body,k1_range,k1_volume,k2_open,k2_high,k2_low,k2_close,k2_body,k2_volume,k3_high,k3_low,k2_body_k1_body,fvg_size_k1_range,vol_change_1_2,fvg_size,new_high_24h,max_gain_24h,new_high_48h,max_gain_48h,new_high_72h,max_gain_72h,new_high_96h,max_gain_96h,new_high_120h,max_gain_120h,new_high_168h,max_gain_168h,pass_all,pass_cond1,pass_cond2,pass_cond3
bearish,14450,2025-08-25 02:00:00,114423.43,114917.1,114301.22,114626.97,203.54000000000815,615.8800000000047,1232.99791,114626.96,114790.75,110680.0,112600.0,2026.9600000000064,5318.65876,112987.88,111632.85,9.958533949100547,2.132460869000433,3.31359916903671,1313.3399999999965,True,3.2486267425667035,True,4.929571180430093,True,4.929571180430093,True,4.929571180430093,True,5.570351742527329,True,6.081404905389457,True,True,True,True
bearish,14455,2025-08-25 07:00:00,113451.02,113692.97,113366.49,113493.59,42.56999999999243,326.4799999999959,643.70862,113493.59,113516.16,112159.0,112645.1,848.4899999999907,897.58897,113140.06,112615.9,19.93164200141277,0.6935493751531806,0.394402594764072,226.43000000000757,True,3.980276711398582,True,4.145695963595593,True,4.145695963595593,True,4.145695963595593,True,5.206644397299423,True,5.3070267942493405,False,True,True,False
bullish,14497,2025-08-27 01:00:00,110153.83,110205.68,109587.42,109988.07,165.75999999999476,618.2599999999948,788.03072,109988.07,110990.05,109966.64,110695.58,707.5099999999948,721.67701,111162.59,110501.57,4.268279440154544,0.4785850613010974,-0.08420193314291095,295.89000000001397,True,2.1952770492410254,True,2.9764527563370615,True,2.9764527563370615,True,2.9764527563370615,True,2.9764527563370615,True,2.9764527563370615,False,True,False,False
bullish,14530,2025-08-28 10:00:00,111647.71,111761.58,111446.07,111500.0,147.7100000000064,315.50999999999476,198.00577,111499.99,112042.04,111408.0,112000.01,500.0199999999895,350.42111,113082.48,111945.07,3.3851465709834665,0.5815663528889997,0.7697520127822537,183.49000000000524,True,1.542855782819098,True,1.542855782819098,True,1.542855782819098,True,1.542855782819098,True,1.542855782819098,True,1.542855782819098,False,True,True,False
bearish,14564,2025-08-29 20:00:00,110098.81,111517.07,110070.73,110728.0,629.1900000000023,1446.340000000011,1553.7899,110728.01,110780.57,108900.0,109106.14,1621.8699999999953,2037.27573,109560.14,108103.0,2.5777110252864626,0.35302211098358105,0.3111655121454967,510.5899999999965,True,2.471710690026304,True,2.471710690026304,True,2.558109680929704,True,2.558109680929704,True,2.558109680929704,True,2.558109680929704,False,True,False,False
bullish,14598,2025-08-31 06:00:00,108588.67,108595.9,108468.77,108531.12,57.55000000000291,127.1299999999901,159.37321,108531.13,108816.34,108530.15,108816.33,285.1999999999971,286.89952,109400.0,108801.35,4.955690703735581,1.6160622984348905,0.8001740694060188,205.45000000001164,True,0.8141375503126821,True,1.2122925451145026,True,2.924254046423493,True,3.664383277821732,True,3.664383277821732,True,4.409669241656454,True,True,True,True
bullish,14660,2025-09-02 20:00:00,109733.33,109836.34,108393.39,108795.99,937.3399999999965,1442.949999999997,1297.32717,108796.0,111275.93,108733.88,111149.99,2353.9900000000052,2481.2087,111771.52,110780.61,2.511351270616867,0.6544024394469704,0.9125543327671154,944.2700000000041,True,1.8976961541143855,True,2.493646456172891,True,3.23051551062244,True,3.23051551062244,True,3.23051551062244,True,3.23051551062244,True,True,True,True
bullish,14715,2025-09-05 03:00:00,109977.0,110113.19,109713.31,109799.99,177.00999999999476,399.88000000000466,367.8214,109800.0,110409.46,109755.59,110408.02,608.0200000000041,396.63364,110545.44,110328.96,3.4349471781256544,0.5395868760628227,0.07833214706920269,215.77000000000407,True,2.9709701444486285,True,2.9709701444486285,True,2.9709701444486285,True,2.9709701444486285,True,2.9709701444486285,True,4.1791814404795655,False,True,True,False
bullish,14720,2025-09-05 08:00:00,110730.87,110929.3,110435.75,110451.62,279.25,493.5500000000029,457.22173,110451.63,111136.0,110451.63,111121.51,669.8799999999901,336.74632,111482.09,111040.79,2.3988540734108867,0.22589403302601566,-0.26349449751655496,111.48999999999069,True,2.2134098024597577,True,2.2134098024597577,True,2.2134098024597577,True,2.2134098024597577,True,2.2134098024597577,True,4.870228154328923,False,True,False,False
bullish,14737,2025-09-06 01:00:00,110815.4,110815.4,110206.96,110608.18,207.22000000000116,608.4399999999878,561.64147,110608.19,111285.35,110569.43,111198.78,590.5899999999965,518.32708,111627.51,111125.8,2.8500627352571817,0.5101571231345983,-0.07712106800090812,310.40000000000873,True,0.7982645011433482,True,0.7982645011433482,True,1.9031380115038175,True,2.2360520288696333,True,3.1563573293964655,True,5.125280421313288,False,True,True,False
